002115107 0248  L $$atrent-abderhaldenemil$$dDUKEPLEAD
002115108 0248  L $$atrent-abercrombiejohnletters$$dDUKEPLEAD
002115109 0248  L $$atrent-aclandhenrywletters$$dDUKEPLEAD
001671334 0248  L $$atrent-adamos$$dDUKEPLEAD
002115110 0248  L $$atrent-adamsabigailletters$$dDUKEPLEAD
001602675 0248  L $$atrent-adamscb$$dDUKEPLEAD
002115121 0248  L $$atrent-adamsjohn$$dDUKEPLEAD
004184753 0248  L $$atrent-admittancecards$$dDUKEPLEAD
002115111 0248  L $$atrent-agassizlouisletters$$dDUKEPLEAD
002115112 0248  L $$atrent-agnewdhayesletters$$dDUKEPLEAD
002115113 0248  L $$atrent-aikinjohn$$dDUKEPLEAD
001602676 0248  L $$atrent-alardprosper$$dDUKEPLEAD
003956851 0248  L $$atrent-albinmaurices$$dDUKEPLEAD
002115114 0248  L $$atrent-alexanderstephen$$dDUKEPLEAD
002115120 0248  L $$atrent-alibertjeanlouismarie$$dDUKEPLEAD
002115117 0248  L $$atrent-andralg$$dDUKEPLEAD
001602677 0248  L $$atrent-anfinsenchristianb$$dDUKEPLEAD
002115115 0248  L $$atrent-antisellthomas$$dDUKEPLEAD
002115119 0248  L $$atrent-apostoligeorges$$dDUKEPLEAD
002115116 0248  L $$atrent-armourdonaldjohn$$dDUKEPLEAD
001609250 0248  L $$atrent-armstrongjohnpapers$$dDUKEPLEAD
002130230 0248  L $$atrent-arnaljeanlouis$$dDUKEPLEAD
002115118 0248  L $$atrent-arsonvaljacquesarsened$$dDUKEPLEAD
002132152 0248  L $$atrent-askewanthonyletters$$dDUKEPLEAD
002118680 0248  L $$atrent-atkinsarthurfdocument$$dDUKEPLEAD
002118687 0248  L $$atrent-austinbenjaminwpapers$$dDUKEPLEAD
002118681 0248  L $$atrent-babingtonbg$$dDUKEPLEAD
002118682 0248  L $$atrent-baccelliguido$$dDUKEPLEAD
002118683 0248  L $$atrent-bachefranklin$$dDUKEPLEAD
002133848 0248  L $$atrent-backusnathaniel$$dDUKEPLEAD
001605131 0248  L $$atrent-baginskya$$dDUKEPLEAD
002118685 0248  L $$atrent-baileyjacobwhitman$$dDUKEPLEAD
002118684 0248  L $$atrent-baillargerjulesgabrielfrancoisletters$$dDUKEPLEAD
002118686 0248  L $$atrent-bailliematthewletters$$dDUKEPLEAD
002133849 0248  L $$atrent-baldwinthomas$$dDUKEPLEAD
002118692 0248  L $$atrent-bardelebenadolf$$dDUKEPLEAD
002118693 0248  L $$atrent-bardsamuelpapers$$dDUKEPLEAD
002118688 0248  L $$atrent-barkerfordycepapers$$dDUKEPLEAD
002118690 0248  L $$atrent-barneyjohnp$$dDUKEPLEAD
001607624 0248  L $$atrent-bartelspaulletters$$dDUKEPLEAD
002118689 0248  L $$atrent-bartlettelishaletters$$dDUKEPLEAD
002130258 0248  L $$atrent-bartlettjosiahdocument$$dDUKEPLEAD
002130259 0248  L $$atrent-bartlettleviletters$$dDUKEPLEAD
002118694 0248  L $$atrent-bartonjrhea$$dDUKEPLEAD
001605132 0248  L $$atrent-bassiagostino$$dDUKEPLEAD
002118695 0248  L $$atrent-bassiniedoardo$$dDUKEPLEAD
002118697 0248  L $$atrent-baumesjbt$$dDUKEPLEAD
002118696 0248  L $$atrent-beattiewilliamletters$$dDUKEPLEAD
002118698 0248  L $$atrent-beaumontwilliampapers$$dDUKEPLEAD
002118699 0248  L $$atrent-beckcharlesfrederickpapers$$dDUKEPLEAD
002132150 0248  L $$atrent-becklewisc$$dDUKEPLEAD
002132151 0248  L $$atrent-becktheodricromeyn$$dDUKEPLEAD
002118700 0248  L $$atrent-beclardj$$dDUKEPLEAD
002118701 0248  L $$atrent-behnwilhelmfriedrichgeorgletters$$dDUKEPLEAD
002137064 0248  L $$atrent-behringemilvonletters$$dDUKEPLEAD
002130231 0248  L $$atrent-bellcharlespapers$$dDUKEPLEAD
002130232 0248  L $$atrent-belljacobuspapers$$dDUKEPLEAD
002164976 0248  L $$atrent-belljamesm$$dDUKEPLEAD
002119504 0248  L $$atrent-belljohn$$dDUKEPLEAD
001607623 0248  L $$atrent-belljohnpapers$$dDUKEPLEAD
002119505 0248  L $$atrent-berardauguste$$dDUKEPLEAD
002119506 0248  L $$atrent-berardpierrehonore$$dDUKEPLEAD
002119507 0248  L $$atrent-berghrudolphpapers$$dDUKEPLEAD
002119510 0248  L $$atrent-bergjanusantonrahbekpapers$$dDUKEPLEAD
002169147 0248  L $$atrent-bergmannernstvon$$dDUKEPLEAD
002119508 0248  L $$atrent-bernardclaudeletters$$dDUKEPLEAD
002119511 0248  L $$atrent-berthelotm$$dDUKEPLEAD
002119509 0248  L $$atrent-bertpaul$$dDUKEPLEAD
001607625 0248  L $$atrent-bethunenormanpapers$$dDUKEPLEAD
002130233 0248  L $$atrent-biddlenicholasletters$$dDUKEPLEAD
