original_term	cleaned_term	term_type	eadid_term_source
Biochemistry	new_term	subject	trent-abderhaldenemil
Abderhalden, Emil, 1877-1950	new_term	persname	trent-abderhaldenemil
History of Medicine Collections (Duke University)	new_term	corpname	trent-abderhaldenemil
Physicians -- Correspondence	new_term	subject	trent-abercrombiejohn
Abercrombie, John, 1780-1844	new_term	persname	trent-abercrombiejohn
History of Medicine Collections (Duke University)	new_term	corpname	trent-abercrombiejohn
Acland, Henry W. (Henry Wentworth), 1815-1900	new_term	persname	trent-aclandhenryw
History of Medicine Collections (Duke University)	new_term	corpname	trent-aclandhenryw
Materia Medica	new_term	subject	trent-adamos
History of Medicine Collections (Duke University)	new_term	corpname	trent-adamos
Adams, Abigail, 1744-1818	new_term	persname	trent-adamsabigail
Coxe, John Redman, 1773-1864	new_term	persname	trent-adamsabigail
Rush, Benjamin, 1746-1813	new_term	persname	trent-adamsabigail
History of Medicine Collections (Duke University)	new_term	corpname	trent-adamsabigail
Mollusca	new_term	subject	trent-adamscb
Adams, C. B. (Charles Baker), 1814-1853	new_term	persname	trent-adamscb
History of Medicine Collections (Duke University)	new_term	corpname	trent-adamscb
Panama	new_term	geogname	trent-adamscb
South Africa	new_term	geogname	trent-adamscb
Adams, John, 1735-1826	new_term	persname	trent-adamsjohn
Monroe, James, 1758-1831	new_term	persname	trent-adamsjohn
Waterhouse, Benjamin, 1754-1846	new_term	persname	trent-adamsjohn
History of Medicine Collections (Duke University)	new_term	corpname	trent-adamsjohn
Education, Medical	new_term	subject	trent-admittancecards
History of Medicine Collections (Duke University)	new_term	corpname	trent-admittancecards
Fishes	new_term	subject	trent-agassizlouis
Fossils	new_term	subject	trent-agassizlouis
Education	new_term	subject	trent-agassizlouis
Agassiz, Louis, 1807-1873	new_term	persname	trent-agassizlouis
Kaup, J. J. (Johann Jakob), 1803-1873	new_term	persname	trent-agassizlouis
History of Medicine Collections (Duke University)	new_term	corpname	trent-agassizlouis
Agnew, D. Hayes (David Hayes), 1818-1892	new_term	persname	trent-agnewdhayes
Barclay, Robert Gulzlaff, 1832-1876	new_term	persname	trent-agnewdhayes
History of Medicine Collections (Duke University)	new_term	corpname	trent-agnewdhayes
Aikin, John, 1747-1822	new_term	persname	trent-aikinjohn
History of Medicine Collections (Duke University)	new_term	corpname	trent-aikinjohn
History of Medicine Collections (Duke University)	new_term	corpname	trent-alardprosper
Albin, Maurice S.	new_term	persname	trent-albinmaurices
History of Medicine Collections (Duke University)	new_term	corpname	trent-albinmaurices
Alexander, Stephen, 1806-1883	new_term	persname	trent-alexanderstephen
Babbage, Charles, 1791-1871	new_term	persname	trent-alexanderstephen
Bache, A. D. (Alexander Dallas), 1806-1867	new_term	persname	trent-alexanderstephen
Barlow, Peter, 1776-1862	new_term	persname	trent-alexanderstephen
Faraday, Michael, 1791-1867	new_term	persname	trent-alexanderstephen
Henry, Joseph, 1797-1878	new_term	persname	trent-alexanderstephen
Wheatstone, Charles, Sir, 1802-1875	new_term	persname	trent-alexanderstephen
