Aleph_Number	RL_Number	EADID	URL	
002115107	RL.10200	trent-abderhaldenemil	http://library.duke.edu/rubenstein/findingaids/trent-abderhaldenemil/
002115108	RL.10201	trent-abercrombiejohnletters	http://library.duke.edu/rubenstein/findingaids/trent-abercrombiejohnletters/
002115109	RL.10202	trent-aclandhenrywletters	http://library.duke.edu/rubenstein/findingaids/trent-aclandhenrywletters/
001671334	RL.10203	trent-adamos	http://library.duke.edu/rubenstein/findingaids/trent-adamos/
002115110	RL.10204	trent-adamsabigailletters	http://library.duke.edu/rubenstein/findingaids/trent-adamsabigailletters/
001602675	RL.10205	trent-adamscb	http://library.duke.edu/rubenstein/findingaids/trent-adamscb/
002115121	RL.10206	trent-adamsjohn	http://library.duke.edu/rubenstein/findingaids/trent-adamsjohn/
004184753	RL.10702	trent-admittancecards	http://library.duke.edu/rubenstein/findingaids/trent-admittancecards/
002115111	RL.10207	trent-agassizlouisletters	http://library.duke.edu/rubenstein/findingaids/trent-agassizlouisletters/
002115112	RL.10208	trent-agnewdhayesletters	http://library.duke.edu/rubenstein/findingaids/trent-agnewdhayesletters/
002115113	RL.10209	trent-aikinjohn	http://library.duke.edu/rubenstein/findingaids/trent-aikinjohn/
001602676	RL.10210	trent-alardprosper	http://library.duke.edu/rubenstein/findingaids/trent-alardprosper/
003956851	RL.10211	trent-albinmaurices	http://library.duke.edu/rubenstein/findingaids/trent-albinmaurices/
002115114	RL.10212	trent-alexanderstephen	http://library.duke.edu/rubenstein/findingaids/trent-alexanderstephen/
002115120	RL.10213	trent-alibertjeanlouismarie	http://library.duke.edu/rubenstein/findingaids/trent-alibertjeanlouismarie/
002115117	RL.10214	trent-andralg	http://library.duke.edu/rubenstein/findingaids/trent-andralg/
001602677	RL.10215	trent-anfinsenchristianb	http://library.duke.edu/rubenstein/findingaids/trent-anfinsenchristianb/
002115115	RL.10216	trent-antisellthomas	http://library.duke.edu/rubenstein/findingaids/trent-antisellthomas/
002115119	RL.10217	trent-apostoligeorges	http://library.duke.edu/rubenstein/findingaids/trent-apostoligeorges/
002115116	RL.10218	trent-armourdonaldjohn	http://library.duke.edu/rubenstein/findingaids/trent-armourdonaldjohn/
001609250	RL.10219	trent-armstrongjohnpapers	http://library.duke.edu/rubenstein/findingaids/trent-armstrongjohnpapers/
002130230	RL.10220	trent-arnaljeanlouis	http://library.duke.edu/rubenstein/findingaids/trent-arnaljeanlouis/
002115118	RL.10221	trent-arsonvaljacquesarsened	http://library.duke.edu/rubenstein/findingaids/trent-arsonvaljacquesarsened/
002132152	RL.10222	trent-askewanthonyletters	http://library.duke.edu/rubenstein/findingaids/trent-askewanthonyletters/
