Field	Subfield	In Records	Total
000		778	778
001		778	778
003		5	5
005		778	778
008		778	778
019		1	1
	$a		1
024		9	9
	$d		9
	$a		9
035		774	774
	$i		2
	$a		772
040		778	778
	$b		759
	$c		778
	$a		778
	$d		2181
	$e		3
041		2	2
	$h		1
	$a		2
043		13	13
	$a		14
049		774	774
	$a		774
096		6	6
	$a		6
100		766	766
	$d		614
	$q		113
	$c		67
	$a		766
110		8	8
	$b		1
	$a		8
240		1	1
	$l		1
	$a		1
245		778	778
	$b		512
	$c		1
	$a		778
	$f		771
	$h		1
246		2	2
	$a		2
260		3	3
	$b		1
	$c		3
	$a		1
300		778	778
	$c		5
	$a		787
	$f		783
	$g		1
336		6	6
	$2		6
	$b		6
	$a		6
337		6	6
	$2		6
	$b		6
	$a		6
351		2	2
	$a		2
500		778	794
	$a		794
520		775	778
	$a		778
541		756	756
	$d		29
	$c		29
	$a		754
545		707	707
	$a		707
555		11	11
	$a		11
600		275	598
	$c		52
	$a		598
	$q		111
	$d		564
	$t		36
	$x		1
	$2		131
	$0		131
610		16	23
	$b		8
	$a		23
	$x		3
	$2		3
	$0		3
611		3	3
	$2		2
	$0		2
	$a		3
	$d		1
630		1	1
	$a		1
648		3	3
	$2		3
	$a		3
650		94	160
	$a		160
	$v		14
	$z		25
	$x		37
	$y		8
	$2		11
	$0		11
651		11	17
	$a		17
	$x		7
	$y		4
	$2		3
	$0		3
655		12	18
	$2		16
	$0		10
	$a		18
690		2	2
	$a		2
700		168	408
	$c		44
	$a		408
	$q		80
	$d		384
	$t		2
710		778	779
	$b		3
	$a		779
740		1	1
	$a		1
856		10	10
	$y		9
	$u		10
